iter	Passed	Remaining
0	59	11887
1	62	6152
2	64	4247
3	67	3299
4	69	2721
5	72	2334
6	74	2062
7	77	1860
8	80	1700
9	82	1566
10	85	1460
11	87	1369
12	89	1293
13	92	1229
14	95	1174
15	97	1121
16	99	1074
17	102	1036
18	104	999
19	107	965
20	109	935
21	112	907
22	114	881
23	117	858
24	119	835
25	121	814
26	124	795
27	126	777
28	129	764
29	132	749
30	134	734
31	137	719
32	139	705
33	141	692
34	144	679
35	146	667
36	148	655
37	151	644
38	153	634
39	156	624
40	158	614
41	160	604
42	163	595
43	165	586
44	167	578
45	170	569
46	172	562
47	175	554
48	177	547
49	180	540
50	182	533
51	184	526
52	187	519
53	189	512
54	192	506
55	194	500
56	197	494
57	199	488
58	201	482
59	204	476
60	206	470
61	208	465
62	211	459
63	213	454
64	216	448
65	218	443
66	220	438
67	223	433
68	225	428
69	227	423
70	230	418
71	232	413
72	235	409
73	238	405
74	240	400
75	242	395
76	245	391
77	247	387
78	249	382
79	252	378
80	254	374
81	257	370
82	259	366
83	262	362
84	264	358
85	267	354
86	269	350
87	272	346
88	274	342
89	277	338
90	279	334
91	281	330
92	284	327
93	286	323
94	289	319
95	292	316
96	294	312
97	296	309
98	299	305
99	301	301
100	304	298
101	306	294
102	309	291
103	311	287
104	314	284
105	316	280
106	318	277
107	321	273
108	323	270
109	326	266
110	328	263
111	330	259
112	333	256
113	335	253
114	338	250
115	341	247
116	343	243
117	346	240
118	348	237
119	350	233
120	353	230
121	355	227
122	358	224
123	360	221
124	363	218
125	365	214
126	368	211
127	370	208
128	372	205
129	375	202
130	377	198
131	380	195
132	382	192
133	385	189
134	387	186
135	389	183
136	392	180
137	394	177
138	397	174
139	399	171
140	401	168
141	404	165
142	406	162
143	408	159
144	411	156
145	413	153
146	416	150
147	418	147
148	421	144
149	423	141
150	425	138
151	428	135
152	430	132
153	433	129
154	435	126
155	437	123
156	440	120
157	442	117
158	445	114
159	447	111
160	450	109
161	452	106
162	454	103
163	457	100
164	460	97
165	462	94
166	465	91
167	467	89
168	470	86
169	472	83
170	474	80
171	477	77
172	479	74
173	481	72
174	484	69
175	486	66
176	489	63
177	491	60
178	493	57
179	496	55
180	498	52
181	501	49
182	503	46
183	506	44
184	508	41
185	510	38
186	513	35
187	515	32
188	517	30
189	520	27
190	522	24
191	524	21
192	527	19
193	529	16
194	532	13
195	535	10
196	537	8
197	539	5
198	542	2
199	544	0
